2019-08-15 17:22:35.245 [main] INFO  com.nxpicc.policybelong.PolicyBelongApplication - Starting PolicyBelongApplication on DNX17246262 with PID 10216 (D:\MQDevSpace\IdeaWorkSpace\policy-belong\target\classes started by maqiang29 in D:\MQDevSpace\IdeaWorkSpace\policy-belong)
2019-08-15 17:22:35.246 [main] INFO  com.nxpicc.policybelong.PolicyBelongApplication - No active profile set, falling back to default profiles: default
2019-08-15 17:22:36.274 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8088 (http)
2019-08-15 17:22:36.285 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8088"]
2019-08-15 17:22:36.291 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2019-08-15 17:22:36.291 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.21]
2019-08-15 17:22:36.383 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2019-08-15 17:22:36.384 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1106 ms
2019-08-15 17:22:36.988 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-08-15 17:22:37.201 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8088"]
2019-08-15 17:22:37.219 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8088 (http) with context path ''
2019-08-15 17:22:37.222 [main] INFO  com.nxpicc.policybelong.PolicyBelongApplication - Started PolicyBelongApplication in 2.348 seconds (JVM running for 3.007)
2019-08-15 17:26:42.396 [main] INFO  com.nxpicc.policybelong.PolicyBelongApplication - Starting PolicyBelongApplication on DNX17246262 with PID 9696 (D:\MQDevSpace\IdeaWorkSpace\policy-belong\target\classes started by maqiang29 in D:\MQDevSpace\IdeaWorkSpace\policy-belong)
2019-08-15 17:26:42.397 [main] INFO  com.nxpicc.policybelong.PolicyBelongApplication - No active profile set, falling back to default profiles: default
2019-08-15 17:26:43.288 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8088 (http)
2019-08-15 17:26:43.299 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8088"]
2019-08-15 17:26:43.306 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2019-08-15 17:26:43.307 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.21]
2019-08-15 17:26:43.406 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2019-08-15 17:26:43.406 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 976 ms
2019-08-15 17:26:43.992 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-08-15 17:26:44.242 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8088"]
2019-08-15 17:26:44.259 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8088 (http) with context path ''
2019-08-15 17:26:44.261 [main] INFO  com.nxpicc.policybelong.PolicyBelongApplication - Started PolicyBelongApplication in 2.243 seconds (JVM running for 2.902)
2019-08-15 17:27:11.296 [main] INFO  com.nxpicc.policybelong.PolicyBelongApplication - Starting PolicyBelongApplication on DNX17246262 with PID 11996 (D:\MQDevSpace\IdeaWorkSpace\policy-belong\target\classes started by maqiang29 in D:\MQDevSpace\IdeaWorkSpace\policy-belong)
2019-08-15 17:27:11.297 [main] INFO  com.nxpicc.policybelong.PolicyBelongApplication - No active profile set, falling back to default profiles: default
2019-08-15 17:27:12.163 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8088 (http)
2019-08-15 17:27:12.172 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8088"]
2019-08-15 17:27:12.180 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2019-08-15 17:27:12.180 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.21]
2019-08-15 17:27:12.270 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2019-08-15 17:27:12.271 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 946 ms
2019-08-15 17:27:12.822 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-08-15 17:27:13.047 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8088"]
2019-08-15 17:27:13.067 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8088 (http) with context path ''
2019-08-15 17:27:13.069 [main] INFO  com.nxpicc.policybelong.PolicyBelongApplication - Started PolicyBelongApplication in 2.102 seconds (JVM running for 2.796)
