2019-08-15 16:22:26.251 [main] INFO  com.nxpicc.policybelong.PolicyBelongApplication - Starting PolicyBelongApplication on DNX17246262 with PID 12356 (D:\MQDevSpace\IdeaWorkSpace\policy-belong\target\classes started by maqiang29 in D:\MQDevSpace\IdeaWorkSpace\policy-belong)
2019-08-15 16:22:26.253 [main] INFO  com.nxpicc.policybelong.PolicyBelongApplication - No active profile set, falling back to default profiles: default
2019-08-15 16:22:28.012 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8088 (http)
2019-08-15 16:22:28.025 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8088"]
2019-08-15 16:22:28.032 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2019-08-15 16:22:28.033 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.21]
2019-08-15 16:22:28.190 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2019-08-15 16:22:28.190 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1847 ms
2019-08-15 16:22:29.300 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-08-15 16:22:29.588 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8088"]
2019-08-15 16:22:29.623 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8088 (http) with context path ''
2019-08-15 16:22:29.632 [main] INFO  com.nxpicc.policybelong.PolicyBelongApplication - Started PolicyBelongApplication in 4.881 seconds (JVM running for 7.687)
2019-08-15 16:26:38.369 [main] INFO  com.nxpicc.policybelong.PolicyBelongApplication - Starting PolicyBelongApplication on DNX17246262 with PID 268 (D:\MQDevSpace\IdeaWorkSpace\policy-belong\target\classes started by maqiang29 in D:\MQDevSpace\IdeaWorkSpace\policy-belong)
2019-08-15 16:26:38.371 [main] INFO  com.nxpicc.policybelong.PolicyBelongApplication - No active profile set, falling back to default profiles: default
2019-08-15 16:26:39.251 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8088 (http)
2019-08-15 16:26:39.262 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8088"]
2019-08-15 16:26:39.268 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2019-08-15 16:26:39.269 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.21]
2019-08-15 16:26:39.358 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2019-08-15 16:26:39.358 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 960 ms
2019-08-15 16:26:39.915 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-08-15 16:26:40.126 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8088"]
2019-08-15 16:26:40.147 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8088 (http) with context path ''
2019-08-15 16:26:40.149 [main] INFO  com.nxpicc.policybelong.PolicyBelongApplication - Started PolicyBelongApplication in 2.313 seconds (JVM running for 2.893)
2019-08-15 17:06:05.615 [http-nio-8088-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2019-08-15 17:06:05.616 [http-nio-8088-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2019-08-15 17:06:05.632 [http-nio-8088-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 15 ms
2019-08-15 17:06:06.227 [http-nio-8088-exec-1] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2019-08-15 17:12:15.844 [main] INFO  com.nxpicc.policybelong.PolicyBelongApplication - Starting PolicyBelongApplication on DNX17246262 with PID 9676 (D:\MQDevSpace\IdeaWorkSpace\policy-belong\target\classes started by maqiang29 in D:\MQDevSpace\IdeaWorkSpace\policy-belong)
2019-08-15 17:12:15.847 [main] INFO  com.nxpicc.policybelong.PolicyBelongApplication - No active profile set, falling back to default profiles: default
2019-08-15 17:12:17.256 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8088 (http)
2019-08-15 17:12:17.266 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8088"]
2019-08-15 17:12:17.274 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2019-08-15 17:12:17.274 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.21]
2019-08-15 17:12:17.455 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2019-08-15 17:12:17.456 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1573 ms
2019-08-15 17:12:18.064 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-08-15 17:12:18.349 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8088"]
2019-08-15 17:12:18.367 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8088 (http) with context path ''
2019-08-15 17:12:18.369 [main] INFO  com.nxpicc.policybelong.PolicyBelongApplication - Started PolicyBelongApplication in 2.922 seconds (JVM running for 3.551)
2019-08-15 17:12:29.832 [http-nio-8088-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2019-08-15 17:12:29.832 [http-nio-8088-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2019-08-15 17:12:29.837 [http-nio-8088-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 5 ms
2019-08-15 17:12:30.237 [http-nio-8088-exec-1] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2019-08-15 17:15:06.489 [main] INFO  c.nxpicc.policybelong.PolicyBelongApplicationTests - Starting PolicyBelongApplicationTests on DNX17246262 with PID 9352 (started by maqiang29 in D:\MQDevSpace\IdeaWorkSpace\policy-belong)
2019-08-15 17:15:06.491 [main] INFO  c.nxpicc.policybelong.PolicyBelongApplicationTests - No active profile set, falling back to default profiles: default
2019-08-15 17:15:08.929 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-08-15 17:15:09.463 [main] INFO  c.nxpicc.policybelong.PolicyBelongApplicationTests - Started PolicyBelongApplicationTests in 3.391 seconds (JVM running for 4.275)
2019-08-15 17:15:09.897 [Thread-2] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2019-08-15 17:15:09.899 [Thread-2] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-0} closing ...
2019-08-15 17:20:16.908 [main] INFO  c.nxpicc.policybelong.PolicyBelongApplicationTests - Starting PolicyBelongApplicationTests on DNX17246262 with PID 13108 (started by maqiang29 in D:\MQDevSpace\IdeaWorkSpace\policy-belong)
2019-08-15 17:20:16.909 [main] INFO  c.nxpicc.policybelong.PolicyBelongApplicationTests - No active profile set, falling back to default profiles: default
2019-08-15 17:20:19.316 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-08-15 17:20:19.980 [main] INFO  c.nxpicc.policybelong.PolicyBelongApplicationTests - Started PolicyBelongApplicationTests in 3.731 seconds (JVM running for 5.117)
2019-08-15 17:20:20.147 [Thread-2] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2019-08-15 17:20:20.149 [Thread-2] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-0} closing ...
2019-08-15 17:20:35.110 [main] INFO  com.nxpicc.policybelong.PolicyBelongApplication - Starting PolicyBelongApplication on DNX17246262 with PID 13052 (D:\MQDevSpace\IdeaWorkSpace\policy-belong\target\classes started by maqiang29 in D:\MQDevSpace\IdeaWorkSpace\policy-belong)
2019-08-15 17:20:35.119 [main] INFO  com.nxpicc.policybelong.PolicyBelongApplication - No active profile set, falling back to default profiles: default
2019-08-15 17:20:35.965 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8088 (http)
2019-08-15 17:20:35.975 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8088"]
2019-08-15 17:20:35.982 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2019-08-15 17:20:35.982 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.21]
2019-08-15 17:20:36.070 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2019-08-15 17:20:36.071 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 924 ms
